A6-xw1bEEzQ\t1.0 Get started using Google Analytics with Skillshop's Analytics Academy course
3faSiEX0jSg\t1.1 Learn about your business with digital analytics - Analytics Academy on Skillshop
-1e5CS_v0vY\t1.2 How Google Analytics collects and processes data - Analytics Academy on Skillshop
pNfD4jDF8TE\t1.3 How to structure your Google Analytics account, property, and data streams - Analytics Academy
ybK-VUAxZ_8\t1.3.2 Create a new Google Analytics account and property - Analytics Academy on Skillshop
THb5SassY1k\t1.4 Set up website data collection for Google Analytics - Analytics Academy on Skillshop
PeTA6aCXV0E\t1.5 Set up your app's data collection with Google Analytics - Analytics Academy on Skillshop
BkvRu5-Cuz4\t1.6 Confirm data collection is working in Google Analytics - Analytics Academy on Skillshop
jKDykqKDMLI\t1.7 Manage user roles, data settings, and more in Google Analytics - Analytics Academy on Skillshop
BlKDZgH8Qqw\t1.8 How dimensions and metrics power your reports - Analytics Academy on Skillshop
XuCCbXFoCQs\t2.0 Course 2 Intro: Get started with Google Analytics - Analytics Academy on Skillshop
PBeUqHIRXNE\t2.1 Tour the Google Analytics user interface - learn where to find reports, settings, and more
R_jW24nAjX4\t2.2 Create and manage events in Google Analytics  - Analytics Academy on Skillshop
9Uokq4bhHjE\t2.3 Filter data and hide unwanted referrals in Google Analytics - Analytics Academy on Skillshop
Ror4ubtzMq0\t2.4 Understand & create key events in Google Analytics - Analytics Academy on Skillshop
uNKcis-wnro\t2.5 Navigate Overview and Detail reports in Google Analytics - Analytics Academy on Skillshop
KiYVhk1w36E\t2.6 Get to know the pre-defined reports in Google Analytics - Analytics Academy on Skillshop
PDPkXKGRaZM\t2.7 Filter and compare data in reports in Google Analytics - Analytics Academy on Skillshop
MwlRg4B7X0c\t2.8 Use Explore for advanced analysis in Google Analytics - Analytics Academy on Skillshop
